03/08/2025, 11:12 AM
Project Statistics

                 	Segments	   Words	Characters (w/o spaces)	Characters (w/ spaces)	#Files	
Total:           	 2066003	15709577	               67896778	              81475580	   204	
Remaining:       	 2066003	15709577	               67896778	              81475580	   204	
Unique:          	 2044856	15622449	               67533290	              81046426	   204	
Unique Remaining:	 2044856	15622449	               67533290	              81046426	   204	


Individual File Statistics:

File Name   	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (w/o spaces)	Remaining Characters (w/o spaces)	Unique Characters (w/o spaces)	Unique Remaining Characters (w/o spaces)	Total Characters (w/ spaces)	Remaining Characters (w/ spaces)	Unique Characters (w/ spaces)	Unique Remaining Characters (w/ spaces)	
part_187.txt	         10290	             10290	          10153	                    10153	      68828	          68828	       68337	                 68337	                       295080	                           295080	                        293148	                                  293148	                      353389	                          353389	                       351104	                                 351104	
part_188.txt	         10229	             10229	          10109	                    10109	      71366	          71366	       70764	                 70764	                       277477	                           277477	                        275151	                                  275151	                      338522	                          338522	                       335714	                                 335714	
part_189.txt	         10171	             10171	          10088	                    10088	      69990	          69990	       69567	                 69567	                       281237	                           281237	                        279509	                                  279509	                      340815	                          340815	                       338748	                                 338748	
part_19.txt 	         10672	             10672	          10220	                    10220	      63345	          63345	       61786	                 61786	                       284536	                           284536	                        277559	                                  277559	                      337211	                          337211	                       329127	                                 329127	
part_190.txt	         10317	             10317	          10180	                    10180	      87718	          87718	       87216	                 87216	                       398196	                           398196	                        396051	                                  396051	                      475372	                          475372	                       472861	                                 472861	
part_191.txt	         10026	             10026	          10014	                    10014	      63368	          63368	       63321	                 63321	                       298911	                           298911	                        298702	                                  298702	                      352223	                          352223	                       351979	                                 351979	
part_192.txt	         10019	             10019	          10013	                    10013	      65164	          65164	       65138	                 65138	                       310935	                           310935	                        310819	                                  310819	                      366052	                          366052	                       365916	                                 365916	
part_193.txt	         10493	             10493	          10212	                    10212	      75724	          75724	       74713	                 74713	                       319834	                           319834	                        315679	                                  315679	                      384847	                          384847	                       379967	                                 379967	
part_194.txt	         10309	             10309	          10130	                    10130	      76739	          76739	       75832	                 75832	                       313170	                           313170	                        309465	                                  309465	                      379032	                          379032	                       374607	                                 374607	
part_195.txt	         10283	             10283	          10084	                    10084	      73849	          73849	       72968	                 72968	                       300756	                           300756	                        297172	                                  297172	                      364167	                          364167	                       359902	                                 359902	
part_196.txt	         10197	             10197	          10093	                    10093	      73664	          73664	       73205	                 73205	                       311594	                           311594	                        309741	                                  309741	                      374892	                          374892	                       372685	                                 372685	
part_197.txt	         10284	             10284	          10141	                    10141	      69963	          69963	       69381	                 69381	                       306022	                           306022	                        303570	                                  303570	                      365451	                          365451	                       362560	                                 362560	
part_198.txt	         10282	             10282	          10037	                    10037	      57717	          57717	       56891	                 56891	                       274227	                           274227	                        270164	                                  270164	                      321657	                          321657	                       317012	                                 317012	
part_199.txt	         10367	             10367	          10176	                    10176	      68932	          68932	       68152	                 68152	                       316472	                           316472	                        312957	                                  312957	                      373967	                          373967	                       369868	                                 369868	
part_2.txt  	          4802	              4802	           4666	                     4666	     109539	         109539	      109165	                109165	                       519566	                           519566	                        517941	                                  517941	                      619014	                          619014	                       617130	                                 617130	
part_20.txt 	         10800	             10800	          10210	                    10210	      83347	          83347	       81393	                 81393	                       374878	                           374878	                        365925	                                  365925	                      445508	                          445508	                       435231	                                 435231	
part_200.txt	         10033	             10033	          10029	                    10029	      65877	          65877	       65862	                 65862	                       304145	                           304145	                        304088	                                  304088	                      359941	                          359941	                       359873	                                 359873	
part_201.txt	         10026	             10026	          10016	                    10016	      61952	          61952	       61912	                 61912	                       274280	                           274280	                        274121	                                  274121	                      326186	                          326186	                       325997	                                 325997	
part_202.txt	         10008	             10008	          10001	                    10001	      65156	          65156	       65122	                 65122	                       296289	                           296289	                        296127	                                  296127	                      351413	                          351413	                       351224	                                 351224	
part_203.txt	          9998	              9998	           9998	                     9998	      66573	          66573	       66573	                 66573	                       295387	                           295387	                        295387	                                  295387	                      351930	                          351930	                       351930	                                 351930	
part_204.txt	          2928	              2928	           2910	                     2910	      30894	          30894	       30817	                 30817	                       149272	                           149272	                        148879	                                  148879	                      176773	                          176773	                       176319	                                 176319	
part_21.txt 	         10374	             10374	          10314	                    10314	      91091	          91091	       90858	                 90858	                       436513	                           436513	                        435372	                                  435372	                      516892	                          516892	                       515579	                                 515579	
part_22.txt 	         10327	             10327	          10129	                    10129	      71399	          71399	       70719	                 70719	                       354698	                           354698	                        351327	                                  351327	                      415664	                          415664	                       411811	                                 411811	
part_23.txt 	         10598	             10598	          10467	                    10467	      97439	          97439	       96872	                 96872	                       463155	                           463155	                        460506	                                  460506	                      549586	                          549586	                       546499	                                 546499	
part_24.txt 	         10389	             10389	          10103	                    10103	      69422	          69422	       68470	                 68470	                       312614	                           312614	                        309080	                                  309080	                      371424	                          371424	                       367221	                                 367221	
part_25.txt 	         10486	             10486	          10182	                    10182	      72443	          72443	       71601	                 71601	                       340615	                           340615	                        336695	                                  336695	                      402239	                          402239	                       397781	                                 397781	
part_26.txt 	         10111	             10111	          10061	                    10061	      70517	          70517	       70259	                 70259	                       310008	                           310008	                        308897	                                  308897	                      370293	                          370293	                       368974	                                 368974	
part_27.txt 	         10029	             10029	           9992	                     9992	      66356	          66356	       66195	                 66195	                       278122	                           278122	                        277481	                                  277481	                      334105	                          334105	                       333344	                                 333344	
part_28.txt 	         10039	             10039	          10010	                    10010	      68300	          68300	       68148	                 68148	                       285330	                           285330	                        284677	                                  284677	                      343291	                          343291	                       342515	                                 342515	
part_29.txt 	         10059	             10059	          10006	                    10006	      66771	          66771	       66536	                 66536	                       267196	                           267196	                        266309	                                  266309	                      323784	                          323784	                       322718	                                 322718	
part_3.txt  	         10488	             10488	          10422	                    10422	     109670	         109670	      109142	                109142	                       482922	                           482922	                        480572	                                  480572	                      581824	                          581824	                       579013	                                 579013	
part_30.txt 	         10071	             10071	          10000	                    10000	      64867	          64867	       64583	                 64583	                       260683	                           260683	                        259618	                                  259618	                      315342	                          315342	                       314064	                                 314064	
part_31.txt 	         10027	             10027	          10009	                    10009	      67241	          67241	       67153	                 67153	                       283056	                           283056	                        282706	                                  282706	                      340176	                          340176	                       339756	                                 339756	
part_32.txt 	         10001	             10001	           9979	                     9979	      69239	          69239	       69149	                 69149	                       281318	                           281318	                        280972	                                  280972	                      340420	                          340420	                       340006	                                 340006	
part_33.txt 	         10031	             10031	          10010	                    10010	      71598	          71598	       71487	                 71487	                       289109	                           289109	                        288671	                                  288671	                      350601	                          350601	                       350073	                                 350073	
part_34.txt 	         10052	             10052	          10009	                    10009	      70550	          70550	       70321	                 70321	                       289193	                           289193	                        288286	                                  288286	                      349568	                          349568	                       348476	                                 348476	
part_35.txt 	         10104	             10104	           9957	                     9957	      52785	          52785	       52277	                 52277	                       237328	                           237328	                        235072	                                  235072	                      279987	                          279987	                       277370	                                 277370	
part_36.txt 	         10492	             10492	          10145	                    10145	      66287	          66287	       65364	                 65364	                       307013	                           307013	                        302782	                                  302782	                      362646	                          362646	                       357842	                                 357842	
part_37.txt 	         10553	             10553	          10156	                    10156	      75670	          75670	       74449	                 74449	                       345123	                           345123	                        340257	                                  340257	                      409046	                          409046	                       403375	                                 403375	
part_38.txt 	         10181	             10181	          10065	                    10065	      74632	          74632	       74103	                 74103	                       291311	                           291311	                        289309	                                  289309	                      355709	                          355709	                       353295	                                 353295	
part_39.txt 	         10099	             10099	          10035	                    10035	      78886	          78886	       78551	                 78551	                       314435	                           314435	                        313207	                                  313207	                      383196	                          383196	                       381697	                                 381697	
part_4.txt  	         10545	             10545	          10425	                    10425	     102491	         102491	      102158	                102158	                       501856	                           501856	                        500398	                                  500398	                      593475	                          593475	                       591801	                                 591801	
part_40.txt 	         10369	             10369	          10122	                    10122	      74274	          74274	       73447	                 73447	                       310545	                           310545	                        307318	                                  307318	                      374225	                          374225	                       370424	                                 370424	
part_41.txt 	         10177	             10177	          10088	                    10088	      74779	          74779	       74357	                 74357	                       294871	                           294871	                        293275	                                  293275	                      359340	                          359340	                       357411	                                 357411	
part_42.txt 	         10276	             10276	          10028	                    10028	      74479	          74479	       73349	                 73349	                       291135	                           291135	                        286878	                                  286878	                      355285	                          355285	                       350146	                                 350146	
part_43.txt 	         10503	             10503	          10291	                    10291	      74760	          74760	       73825	                 73825	                       304518	                           304518	                        300835	                                  300835	                      367585	                          367585	                       363198	                                 363198	
part_44.txt 	         10078	             10078	          10003	                    10003	      82571	          82571	       82232	                 82232	                       322020	                           322020	                        320749	                                  320749	                      394471	                          394471	                       392936	                                 392936	
part_45.txt 	         10210	             10210	          10064	                    10064	      80246	          80246	       79587	                 79587	                       316433	                           316433	                        313872	                                  313872	                      386119	                          386119	                       383049	                                 383049	
part_46.txt 	         10248	             10248	          10050	                    10050	      80874	          80874	       79913	                 79913	                       312163	                           312163	                        308520	                                  308520	                      382782	                          382782	                       378376	                                 378376	
part_47.txt 	         10080	             10080	          10016	                    10016	      88556	          88556	       88258	                 88258	                       348212	                           348212	                        347048	                                  347048	                      426667	                          426667	                       425269	                                 425269	
part_48.txt 	         10103	             10103	          10016	                    10016	      88979	          88979	       88508	                 88508	                       349596	                           349596	                        347770	                                  347770	                      428455	                          428455	                       426245	                                 426245	
part_49.txt 	         10140	             10140	          10031	                    10031	      74780	          74780	       74265	                 74265	                       291612	                           291612	                        289693	                                  289693	                      354350	                          354350	                       352042	                                 352042	
part_5.txt  	         10221	             10221	          10136	                    10136	      79912	          79912	       79548	                 79548	                       391665	                           391665	                        390084	                                  390084	                      461279	                          461279	                       459418	                                 459418	
part_50.txt 	         10133	             10133	          10066	                    10066	      74142	          74142	       73833	                 73833	                       281932	                           281932	                        280754	                                  280754	                      345782	                          345782	                       344362	                                 344362	
